"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.282895646E2,2.855625153E1,4.640625000E1,-2.632500076E1
5.287895646E2,2.872500038E1,4.644375229E1,-2.630625153E1
5.292895646E2,2.887500191E1,4.627500153E1,-2.606250191E1
5.297895646E2,2.885625076E1,4.576875305E1,-2.619375038E1
5.302895646E2,2.895000076E1,4.573125076E1,-2.606250191E1
5.307895646E2,2.900625038E1,4.584375000E1,-2.589375114E1
5.312895642E2,2.908125114E1,4.605000305E1,-2.581875038E1
5.317895642E2,2.917500114E1,4.610625076E1,-2.580000114E1
5.322895642E2,2.908125114E1,4.590000153E1,-2.576250076E1
5.327895642E2,2.898750114E1,4.582500076E1,-2.568750191E1
5.332895642E2,2.896875191E1,4.580625153E1,-2.585625076E1
5.337895642E2,2.891250038E1,4.578750229E1,-2.565000153E1
5.342895642E2,2.885625076E1,4.571250153E1,-2.563125038E1
5.347895642E2,2.876250076E1,4.563750076E1,-2.563125038E1
5.352895642E2,2.870625114E1,4.545000076E1,-2.563125038E1
5.357895642E2,2.883750153E1,4.561875153E1,-2.559375191E1
5.362895642E2,2.893125153E1,4.576875305E1,-2.568750191E1
5.367895642E2,2.887500191E1,4.573125076E1,-2.581875038E1
5.372895642E2,2.887500191E1,4.565625000E1,-2.585625076E1
5.377895642E2,2.908125114E1,4.588125229E1,-2.591250038E1
5.382895642E2,2.926875114E1,4.608750153E1,-2.593125153E1
5.387895642E2,2.943750191E1,4.631250000E1,-2.593125153E1
5.392895642E2,2.953125191E1,4.646250153E1,-2.602500153E1
5.397895642E2,2.934375191E1,4.620000076E1,-2.587500191E1
5.402895642E2,2.983125114E1,4.558125305E1,-2.595000076E1
5.407895642E2,3.144375038E1,4.261875153E1,-2.776875114E1
5.412895642E2,3.436875153E1,3.973125076E1,-2.941875076E1
5.417895642E2,3.738750076E1,3.705000305E1,-3.120000076E1
5.422895642E2,3.986250305E1,3.446250153E1,-3.264375305E1
5.427895642E2,4.216875076E1,3.217500305E1,-3.418125153E1
5.432895642E2,4.456875229E1,3.016875076E1,-3.556875229E1
5.437895642E2,4.713750076E1,2.820000076E1,-3.718125153E1
5.442895642E2,4.901250076E1,2.679375076E1,-3.864375305E1
5.447895642E2,5.013750076E1,2.831250191E1,-3.802500153E1
5.452895642E2,4.974375153E1,2.985000038E1,-3.744375229E1
5.457895642E2,4.863750076E1,3.105000114E1,-3.669375229E1
5.462895642E2,4.826250076E1,3.210000229E1,-3.624375153E1
5.467895642E2,4.801875305E1,3.285000229E1,-3.575625229E1
5.472895642E2,4.779375076E1,3.345000076E1,-3.540000153E1
5.477895642E2,4.771875000E1,3.427500153E1,-3.498750305E1
5.482895642E2,4.798125076E1,3.500625229E1,-3.463125229E1
5.487895642E2,4.768125153E1,3.504375076E1,-3.465000153E1
5.492895642E2,4.736250305E1,3.500625229E1,-3.457500076E1
5.497895642E2,4.747500229E1,3.498750305E1,-3.446250153E1
5.502895642E2,4.730625153E1,3.489375305E1,-3.448125076E1
5.507895642E2,4.719375229E1,3.474375153E1,-3.448125076E1
5.512895642E2,4.706250000E1,3.465000153E1,-3.442500305E1
5.517895642E2,4.689375305E1,3.457500076E1,-3.446250153E1
5.522895642E2,4.651875305E1,3.444375229E1,-3.440625000E1
5.527895642E2,4.623750305E1,3.427500153E1,-3.414375305E1
5.532895642E2,4.618125153E1,3.431250000E1,-3.408750153E1
5.537895642E2,4.625625229E1,3.444375229E1,-3.418125153E1
5.542895642E2,4.638750076E1,3.442500305E1,-3.425625229E1
5.547895642E2,4.635000229E1,3.446250153E1,-3.423750305E1
5.552895642E2,4.635000229E1,3.453750229E1,-3.429375076E1
5.557895642E2,4.625625229E1,3.451875305E1,-3.429375076E1
5.562895642E2,4.614375305E1,3.463125229E1,-3.421875000E1
5.567895642E2,4.631250000E1,3.487500000E1,-3.444375229E1
5.572895642E2,4.668750000E1,3.525000000E1,-3.463125229E1
5.577895642E2,4.698750305E1,3.549375153E1,-3.489375305E1
5.582895642E2,4.736250305E1,3.588750076E1,-3.508125305E1
5.587895642E2,4.762500000E1,3.615000153E1,-3.525000000E1
5.592895642E2,4.790625000E1,3.630000305E1,-3.543750000E1
5.597895642E2,4.824375153E1,3.650625229E1,-3.562500000E1
5.602895642E2,4.865625381E1,3.667500305E1,-3.594375229E1
5.607895642E2,4.890000153E1,3.690000153E1,-3.601875305E1
5.612895642E2,4.888125229E1,3.684375000E1,-3.598125076E1
5.617895642E2,4.875000381E1,3.669375229E1,-3.598125076E1
5.622895642E2,4.854375076E1,3.650625229E1,-3.588750076E1
5.627895642E2,4.863750076E1,3.637500000E1,-3.603750229E1
5.632895642E2,4.861875153E1,3.630000305E1,-3.603750229E1
5.637895642E2,4.856250381E1,3.622500229E1,-3.607500076E1
5.642895642E2,4.854375076E1,3.630000305E1,-3.583125305E1
5.647895642E2,4.843125153E1,3.620625305E1,-3.573750305E1
5.652895642E2,4.835625076E1,3.598125076E1,-3.579375076E1
5.657895642E2,4.822500229E1,3.571875000E1,-3.564375305E1
5.662895642E2,4.803750229E1,3.543750000E1,-3.579375076E1
5.667895642E2,4.771875000E1,3.515625000E1,-3.586875153E1
5.672895642E2,4.760625076E1,3.500625229E1,-3.592500305E1
5.677895642E2,4.758750153E1,3.470625305E1,-3.590625000E1
5.682895642E2,4.730625153E1,3.418125153E1,-3.603750229E1
5.687895642E2,4.672500229E1,3.358125305E1,-3.609375000E1
5.692895642E2,4.610625076E1,3.324375153E1,-3.609375000E1
5.697895642E2,4.565625000E1,3.309375000E1,-3.609375000E1
5.702895642E2,4.543125153E1,3.301875305E1,-3.586875153E1
5.707895642E2,4.515000153E1,3.305625153E1,-3.553125000E1
5.712895642E2,4.483125305E1,3.298125076E1,-3.530625153E1
5.717895642E2,4.443750000E1,3.305625153E1,-3.502500153E1
5.722895642E2,4.434375000E1,3.322500229E1,-3.568125153E1
5.727895642E2,4.462500000E1,3.350625229E1,-3.573750305E1
5.732895642E2,4.507500076E1,3.393750000E1,-3.549375153E1
5.737895642E2,4.586250305E1,3.391875076E1,-3.543750000E1
5.742895642E2,4.702500153E1,3.568125153E1,-3.592500305E1
5.747895642E2,4.582500076E1,3.600000000E1,-3.898125076E1
5.752895642E2,4.505625153E1,3.480000305E1,-3.960000229E1
5.757895642E2,4.503750229E1,3.455625153E1,-3.963750076E1
5.762895642E2,4.466250229E1,3.429375076E1,-3.870000076E1
5.767895642E2,4.428750229E1,3.397500229E1,-3.845625305E1
5.772895642E2,4.428750229E1,3.335625076E1,-3.871875000E1
5.777895642E2,4.436250305E1,3.281250000E1,-3.879375076E1
5.782895642E2,4.359375000E1,3.103125191E1,-3.832500076E1
5.787895642E2,4.481250000E1,3.041250038E1,-3.575625229E1
5.792895642E2,4.595625305E1,3.112500191E1,-3.558750153E1
5.797895642E2,4.635000229E1,3.084375191E1,-3.596250153E1
5.802895642E2,4.745625305E1,3.069375038E1,-3.646875000E1
5.807895642E2,4.846875381E1,3.018750191E1,-3.757500076E1
5.812895642E2,4.888125229E1,2.992500114E1,-3.847500229E1
5.817895642E2,4.890000153E1,3.007500076E1,-3.920625305E1
5.822895642E2,4.912500381E1,2.979375076E1,-3.971250153E1
5.827895642E2,4.959375381E1,2.977500153E1,-3.963750076E1
5.832895642E2,4.970625305E1,2.983125114E1,-3.973125076E1
5.837895642E2,4.946250153E1,3.015000153E1,-3.993750000E1
5.842895642E2,4.884375381E1,3.018750191E1,-4.029375076E1
5.847895642E2,4.848750305E1,3.080625153E1,-3.993750000E1
5.852895642E2,4.875000381E1,3.133125114E1,-4.070625305E1
5.857895642E2,4.876875305E1,3.191250038E1,-4.151250076E1
5.862895642E2,4.899375153E1,3.225000000E1,-4.312500000E1
5.867895642E2,4.901250076E1,3.256875229E1,-4.368750000E1
5.872895642E2,4.875000381E1,3.307500076E1,-4.385625076E1
5.877895642E2,4.901250076E1,3.350625229E1,-4.396875000E1
5.882895642E2,4.905000305E1,3.401250076E1,-4.406250000E1
5.887895642E2,4.878750229E1,3.442500305E1,-4.430625153E1
5.892895642E2,4.801875305E1,3.459375000E1,-4.327500153E1
5.897895642E2,4.749375153E1,3.478125000E1,-4.231875229E1
5.902895642E2,4.689375305E1,3.504375076E1,-4.074375153E1
5.907895642E2,4.678125000E1,3.536250305E1,-4.025625229E1
5.912895648E2,4.691250229E1,3.541875076E1,-4.042500305E1
5.917895648E2,4.681875229E1,3.536250305E1,-4.051875305E1
5.922895648E2,4.693125153E1,3.528750229E1,-4.040625000E1
5.927895648E2,4.725000000E1,3.517500305E1,-4.006875229E1
5.932895648E2,4.743750000E1,3.543750000E1,-3.978750229E1
5.937895648E2,4.775625229E1,3.536250305E1,-3.956250000E1
5.942895648E2,4.801875305E1,3.532500076E1,-3.926250076E1
5.947895648E2,4.822500229E1,3.526875305E1,-3.903750229E1
5.952895648E2,4.818750381E1,3.532500076E1,-3.828750229E1
5.957895648E2,4.818750381E1,3.530625153E1,-3.766875076E1
5.962895648E2,4.815000153E1,3.545625305E1,-3.706875229E1
5.967895648E2,4.803750229E1,3.556875229E1,-3.645000076E1
5.972895648E2,4.803750229E1,3.555000305E1,-3.605625153E1
5.977895648E2,4.770000076E1,3.564375305E1,-3.570000076E1
5.982895648E2,4.756875229E1,3.571875000E1,-3.549375153E1
5.987895648E2,4.726875305E1,3.571875000E1,-3.532500076E1
5.992895648E2,4.706250000E1,3.558750153E1,-3.532500076E1
5.997895648E2,4.685625076E1,3.553125000E1,-3.517500305E1
6.002895648E2,4.661250305E1,3.556875229E1,-3.508125305E1
6.007895648E2,4.635000229E1,3.558750153E1,-3.508125305E1
6.012895648E2,4.618125153E1,3.536250305E1,-3.511875153E1
6.017895648E2,4.620000076E1,3.560625076E1,-3.519375229E1
6.022895648E2,4.599375153E1,3.543750000E1,-3.525000000E1
6.027895648E2,4.618125153E1,3.541875076E1,-3.526875305E1
6.032895648E2,4.646250153E1,3.558750153E1,-3.534375000E1
6.037895648E2,4.665000153E1,3.566250229E1,-3.556875229E1
6.042895648E2,4.695000076E1,3.564375305E1,-3.573750305E1
6.047895648E2,4.719375229E1,3.560625076E1,-3.588750076E1
6.052895648E2,4.726875305E1,3.564375305E1,-3.594375229E1
6.057895648E2,4.725000000E1,3.538125229E1,-3.590625000E1
6.062895648E2,4.726875305E1,3.545625305E1,-3.581250000E1
6.067895648E2,4.702500153E1,3.547500229E1,-3.573750305E1
6.072895648E2,4.691250229E1,3.549375153E1,-3.562500000E1
6.077895648E2,4.691250229E1,3.568125153E1,-3.553125000E1
6.082895648E2,4.687500000E1,3.607500076E1,-3.541875076E1
6.087895648E2,4.599375153E1,3.740625000E1,-3.956250000E1
6.092895648E2,4.569375229E1,3.669375229E1,-3.997500229E1
6.097895648E2,4.575000000E1,3.639375305E1,-3.995625305E1
6.102895648E2,4.584375000E1,3.622500229E1,-4.005000305E1
6.107895648E2,4.620000076E1,3.600000000E1,-4.044375229E1
6.112895648E2,4.648125076E1,3.583125305E1,-4.070625305E1
6.117895648E2,4.719375229E1,3.540000153E1,-4.110000229E1
6.122895648E2,4.792500305E1,3.465000153E1,-4.168125153E1
6.127895648E2,4.978125381E1,3.294375229E1,-3.836250305E1
6.132895648E2,5.143125153E1,3.322500229E1,-3.900000000E1
6.137895648E2,5.291250229E1,3.290625000E1,-4.027500153E1
6.142895648E2,5.441250229E1,3.249375153E1,-4.151250076E1
6.147895648E2,5.566875076E1,3.210000229E1,-4.241250229E1
6.152895648E2,5.692500305E1,3.155625153E1,-4.351875305E1
6.157895648E2,5.778750229E1,3.123750114E1,-4.470000076E1
6.162895648E2,5.859375381E1,3.099375153E1,-4.558125305E1
6.167895648E2,5.917500305E1,3.075000191E1,-4.605000305E1
6.172895648E2,5.956875229E1,3.063750076E1,-4.627500153E1
6.177895648E2,5.985000229E1,3.071250153E1,-4.666875076E1
6.182895648E2,6.018750381E1,3.069375038E1,-4.713750076E1
6.187895648E2,6.037500381E1,3.076875114E1,-4.710000229E1
6.192895648E2,6.056250381E1,3.103125191E1,-4.691250229E1
6.197895648E2,6.048750305E1,3.133125114E1,-4.640625000E1
6.202895648E2,6.022500229E1,3.150000191E1,-4.629375076E1
6.207895648E2,5.996250153E1,3.155625153E1,-4.640625000E1
6.212895648E2,5.938125229E1,3.163125038E1,-4.655625153E1
6.217895648E2,5.887500381E1,3.178125191E1,-4.651875305E1
6.222895648E2,5.831250381E1,3.206250000E1,-4.616250229E1
6.227895648E2,5.791875076E1,3.234375000E1,-4.627500153E1
6.232895648E2,5.746875381E1,3.251250076E1,-4.638750076E1
6.237895648E2,5.720625305E1,3.271875000E1,-4.638750076E1
6.242895648E2,5.711250305E1,3.290625000E1,-4.616250229E1
6.247895648E2,5.700000381E1,3.326250076E1,-4.576875305E1
6.252895648E2,5.716875076E1,3.354375076E1,-4.531875229E1
6.257895648E2,5.713125229E1,3.378750229E1,-4.455000305E1
6.262895648E2,5.715000153E1,3.399375153E1,-4.408125305E1
6.267895648E2,5.700000381E1,3.418125153E1,-4.368750000E1
6.272895648E2,5.705625153E1,3.429375076E1,-4.327500153E1
6.277895648E2,5.698125076E1,3.423750305E1,-4.312500000E1
6.282895648E2,5.685000229E1,3.420000076E1,-4.303125000E1
6.287895648E2,5.686875153E1,3.416250229E1,-4.297500229E1
6.292895648E2,5.677500153E1,3.427500153E1,-4.291875076E1
6.297895648E2,5.675625229E1,3.410625076E1,-4.338750076E1
6.302895648E2,5.677500153E1,3.399375153E1,-4.346250153E1
6.307895648E2,5.690625381E1,3.395625305E1,-4.359375000E1
6.312895648E2,5.700000381E1,3.414375305E1,-4.370625305E1
6.317895648E2,5.703750229E1,3.547500229E1,-4.550625229E1
6.322895648E2,5.625000381E1,3.504375076E1,-4.681875229E1
6.327895648E2,5.611875153E1,3.500625229E1,-4.715625000E1
6.332895648E2,5.611875153E1,3.491250229E1,-4.740000153E1
6.337895648E2,5.621250153E1,3.521250153E1,-4.732500076E1
6.342895648E2,5.630625153E1,3.540000153E1,-4.723125076E1
6.347895648E2,5.641875076E1,3.556875229E1,-4.708125305E1
6.352895648E2,5.653125381E1,3.555000305E1,-4.708125305E1
