"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.162427095E2,5.233420958E1,4.864115490E0,1.011230318E1,7.099999785E-1,4.850000000E1,3.790092468E0,2.765103340E0
1.172427325E2,5.233421481E1,4.864122680E0,9.698130082E0,9.200000167E-1,4.170000076E1,3.790092468E0,2.820244074E0
1.182433725E2,5.233421881E1,4.864131150E0,1.000038665E1,8.199999928E-1,5.970000076E1,3.790092468E0,2.736667156E0
1.192430747E2,5.233422241E1,4.864142380E0,1.010391376E1,9.599999785E-1,6.980000305E1,3.790092468E0,2.684805632E0
1.202435596E2,5.233422667E1,4.864154550E0,9.358016070E0,8.999999762E-1,5.900000000E1,3.790092468E0,2.637957811E0
1.212431487E2,5.233423268E1,4.864163340E0,8.823178477E0,8.899999857E-1,5.559999847E1,3.790092468E0,2.677583933E0
1.222435962E2,5.233423579E1,4.864168430E0,8.966984591E0,2.300000042E-1,7.369999695E1,3.790092468E0,2.668827295E0
1.232427070E2,5.233423574E1,4.864170120E0,9.270574355E0,3.000000119E-1,1.336999969E2,3.790092468E0,2.544585228E0
1.242433891E2,5.233423470E1,4.864171850E0,9.735905913E0,2.399999946E-1,1.129000015E2,3.790092468E0,2.500000000E0
1.252428020E2,5.233423374E1,4.864174370E0,1.018622339E1,4.199999869E-1,1.165999985E2,3.790092468E0,2.500000000E0
1.262435317E2,5.233423354E1,4.864179140E0,9.910407965E0,5.000000000E-1,9.819999695E1,3.790092468E0,2.500000000E0
1.272436512E2,5.233423423E1,4.864184290E0,1.015363698E1,4.900000095E-1,9.100000000E1,3.790092468E0,2.500000000E0
1.282427765E2,5.233423429E1,4.864186970E0,1.070435881E1,2.099999934E-1,9.709999847E1,3.790092468E0,2.500000000E0
1.292431196E2,5.233423468E1,4.864182760E0,1.070228176E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.302427628E2,5.233423433E1,4.864183790E0,1.083454504E1,4.399999976E-1,1.060999985E2,3.790092468E0,2.500000000E0
1.312426630E2,5.233423314E1,4.864189900E0,1.106879979E1,6.200000048E-1,1.089000015E2,3.790092468E0,2.500000000E0
1.322427238E2,5.233423147E1,4.864199420E0,1.146937662E1,8.999999762E-1,9.869999695E1,3.790092468E0,2.500000000E0
1.332430460E2,5.233422968E1,4.864210610E0,1.203975404E1,8.700000048E-1,9.900000000E1,3.790092468E0,2.500000000E0
1.342431351E2,5.233422815E1,4.864223190E0,1.210042803E1,1.080000043E0,9.619999695E1,3.790092468E0,2.500000000E0
1.352434659E2,5.233422527E1,4.864237080E0,1.246108867E1,1.200000048E0,9.569999695E1,3.790092468E0,2.500000000E0
1.362429699E2,5.233422276E1,4.864247730E0,1.269210930E1,9.499999881E-1,9.259999847E1,3.790092468E0,2.500000000E0
1.372435214E2,5.233421909E1,4.864257350E0,1.271426540E1,9.300000072E-1,9.709999847E1,3.790092468E0,2.500000000E0
1.382430048E2,5.233421527E1,4.864270490E0,1.234933835E1,1.120000005E0,9.519999695E1,3.790092468E0,2.500000000E0
1.392434593E2,5.233421334E1,4.864286330E0,1.250339743E1,1.179999948E0,8.619999695E1,3.790092468E0,2.500000000E0
1.402430351E2,5.233421193E1,4.864304160E0,1.263621815E1,1.190000057E0,9.369999695E1,3.790092468E0,2.500000000E0
1.412430724E2,5.233420973E1,4.864320540E0,1.305687873E1,1.129999995E0,8.900000000E1,3.790092468E0,2.500000000E0
1.422430316E2,5.233420867E1,4.864336910E0,1.327423279E1,1.149999976E0,7.700000000E1,3.790092468E0,2.500000000E0
1.432430296E2,5.233420913E1,4.864353310E0,1.349628872E1,1.139999986E0,7.659999847E1,3.790092468E0,2.500000000E0
1.442427637E2,5.233420951E1,4.864368890E0,1.394051204E1,1.049999952E0,7.330000305E1,3.790092468E0,2.500000000E0
1.452430218E2,5.233421007E1,4.864382550E0,1.398190248E1,9.300000072E-1,7.540000153E1,3.790092468E0,2.500000000E0
1.462428274E2,5.233420898E1,4.864396130E0,1.453214065E1,1.080000043E0,8.350000000E1,3.790092468E0,2.527114630E0
1.472426890E2,5.233420888E1,4.864408150E0,1.498136614E1,8.799999952E-1,6.580000305E1,3.790092468E0,2.500000000E0
1.482431239E2,5.233421030E1,4.864420760E0,1.494444908E1,9.499999881E-1,6.580000305E1,3.790092468E0,2.500000000E0
1.492431517E2,5.233421633E1,4.864430170E0,1.493060796E1,1.279999971E0,2.270000076E1,3.790092468E0,2.500000000E0
1.502429207E2,5.233422498E1,4.864431500E0,1.501399491E1,1.159999967E0,3.502000122E2,3.790092468E0,2.500000000E0
1.512429751E2,5.233423280E1,4.864432880E0,1.526217565E1,1.019999981E0,5.599999905E0,3.790092468E0,2.500000000E0
1.522436009E2,5.233423979E1,4.864435250E0,1.587595636E1,9.900000095E-1,3.457000122E2,3.790092468E0,2.500000000E0
1.532431570E2,5.233424712E1,4.864437420E0,1.557738393E1,9.900000095E-1,3.592999878E2,3.790092468E0,2.500000000E0
1.542435632E2,5.233425534E1,4.864439610E0,1.506067311E1,1.009999990E0,3.397999878E2,3.790092468E0,2.500000000E0
1.552426613E2,5.233426528E1,4.864445340E0,1.407082220E1,1.110000014E0,9.399999619E0,3.790092468E0,2.500000000E0
1.562428159E2,5.233427411E1,4.864452410E0,1.431088994E1,1.019999981E0,1.110000038E1,3.790092468E0,2.500000000E0
1.572434746E2,5.233428319E1,4.864453900E0,1.459612084E1,1.100000024E0,3.496000061E2,3.790092468E0,2.529539347E0
1.582435607E2,5.233429108E1,4.864449490E0,1.483734035E1,9.900000095E-1,3.355000000E2,3.790092468E0,2.581634998E0
1.592426709E2,5.233430253E1,4.864458810E0,1.501289890E1,1.909999967E0,3.379999924E1,3.790092468E0,2.749482393E0
1.602427118E2,5.233431401E1,4.864465930E0,1.420554607E1,1.279999971E0,3.551000061E2,3.790092468E0,2.802821636E0
1.612426699E2,5.233432217E1,4.864462250E0,1.330376101E1,1.049999952E0,3.395000000E2,3.790092468E0,2.859769583E0
1.622431131E2,5.233433208E1,4.864472730E0,1.321827069E1,1.929999948E0,3.759999847E1,3.790092468E0,3.054009438E0
1.632430663E2,5.233434106E1,4.864483940E0,1.367324578E1,1.110000014E0,1.560000038E1,3.790092468E0,3.332000256E0
1.642435574E2,5.233434778E1,4.864486380E0,1.389420390E1,1.000000000E0,1.000000000E0,3.790092468E0,3.202816486E0
1.652426711E2,5.233435466E1,4.864484950E0,1.426146129E1,1.090000033E0,3.478999939E2,3.790092468E0,2.857111454E0
1.662431627E2,5.233436390E1,4.864495170E0,1.388348941E1,1.649999976E0,3.990000153E1,3.790092468E0,2.795355082E0
1.672428589E2,5.233437266E1,4.864505360E0,1.441799242E1,1.070000052E0,1.910000038E1,3.790092468E0,3.037271023E0
1.682427126E2,5.233438015E1,4.864507380E0,1.513113888E1,1.029999971E0,5.099999905E0,3.790092468E0,2.986501694E0
1.692427133E2,5.233438795E1,4.864507380E0,1.533091791E1,1.029999971E0,3.588999939E2,3.790092468E0,2.854220629E0
1.702427722E2,5.233439581E1,4.864508780E0,1.503503133E1,1.049999952E0,4.099999905E0,3.790092468E0,3.012452841E0
1.712432742E2,5.233440416E1,4.864510370E0,1.510529545E1,1.080000043E0,3.582999878E2,3.790092468E0,2.917375565E0
1.722435540E2,5.233441210E1,4.864511150E0,1.530538031E1,9.800000191E-1,3.546000061E2,3.790092468E0,3.168125629E0
1.732426763E2,5.233441989E1,4.864512010E0,1.540609976E1,1.029999971E0,1.399999976E0,3.790092468E0,2.877001047E0
1.742434465E2,5.233442877E1,4.864512050E0,1.494865378E1,1.019999981E0,3.571000061E2,3.790092468E0,2.521895647E0
1.752427110E2,5.233443746E1,4.864524370E0,1.516589717E1,1.610000014E0,4.779999924E1,3.790092468E0,2.887277365E0
1.762432667E2,5.233444634E1,4.864531290E0,1.462032035E1,1.139999986E0,3.587000122E2,3.790092468E0,2.557039261E0
1.772428521E2,5.233445494E1,4.864544390E0,1.556656797E1,1.610000014E0,5.209999847E1,3.790092468E0,2.788614988E0
1.782427230E2,5.233446191E1,4.864558900E0,1.630889565E1,1.029999971E0,4.020000076E1,3.790092468E0,2.948415041E0
1.792427605E2,5.233446867E1,4.864567310E0,1.696418341E1,1.029999971E0,2.889999962E1,3.790092468E0,3.163370132E0
1.802433844E2,5.233447622E1,4.864573310E0,1.700191718E1,1.019999981E0,2.160000038E1,3.790092468E0,2.955405235E0
1.812435497E2,5.233448344E1,4.864578230E0,1.741013328E1,1.029999971E0,2.229999924E1,3.790092468E0,3.006281614E0
1.822431741E2,5.233449105E1,4.864584600E0,1.783312126E1,1.039999962E0,2.410000038E1,3.790092468E0,3.213117599E0
1.832434239E2,5.233449902E1,4.864590530E0,1.806757190E1,1.009999990E0,2.350000000E1,3.790092468E0,3.235318661E0
1.842434733E2,5.233450793E1,4.864595170E0,1.830769939E1,1.000000000E0,1.180000019E1,3.790092468E0,3.058411837E0
1.852431458E2,5.233451729E1,4.864599390E0,1.868833020E1,1.039999962E0,1.889999962E1,3.790092468E0,2.944043159E0
1.862433861E2,5.233452726E1,4.864602610E0,1.915788952E1,1.100000024E0,1.230000019E1,3.790092468E0,2.827089787E0
1.872429556E2,5.233453755E1,4.864607080E0,1.918427374E1,1.049999952E0,1.519999981E1,3.790092468E0,2.925967216E0
1.882428103E2,5.233454627E1,4.864615410E0,1.973342407E1,1.080000043E0,3.409999847E1,3.790092468E0,3.121667624E0
1.892434329E2,5.233455503E1,4.864620210E0,1.967948406E1,1.090000033E0,1.210000038E1,3.798591852E0,3.212761164E0
1.902431759E2,5.233456435E1,4.864619950E0,1.991655756E1,1.080000043E0,3.571000061E2,3.790092468E0,3.141216755E0
1.912432825E2,5.233457357E1,4.864627520E0,2.001886978E1,1.309999943E0,3.729999924E1,3.853873968E0,3.550236225E0
1.922430897E2,5.233458303E1,4.864633700E0,2.120479971E1,1.139999986E0,9.699999809E0,4.095344543E0,3.861555815E0
1.932431489E2,5.233458955E1,4.864638650E0,2.153141083E1,8.700000048E-1,3.740000153E1,3.914033175E0,3.952308655E0
1.942428909E2,5.233459607E1,4.864646700E0,2.079143438E1,1.000000000E0,3.859999847E1,3.790092468E0,3.950010777E0
1.952434165E2,5.233460381E1,4.864655090E0,2.022608141E1,9.499999881E-1,4.070000076E1,3.818348169E0,4.447705269E0
1.962430383E2,5.233461520E1,4.864655450E0,1.817946678E1,1.200000048E0,6.000000238E-1,3.792853594E0,4.096590042E0
