"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.265198098E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.744147771E0,3.364163932E0
1.275198095E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.744869449E0,3.363145990E0
1.285198115E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.744916351E0,3.363079817E0
1.295198144E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.745369151E0,3.362440877E0
1.305198152E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.745601562E0,3.362112855E0
1.315198170E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.745105469E0,3.362812977E0
1.325198193E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.745837345E0,3.361780024E0
1.335198205E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.745992339E0,3.361561208E0
1.345198231E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746126595E0,3.361371651E0
1.355198240E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746280466E0,3.361154381E0
1.365198251E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746400941E0,3.360984252E0
1.375198301E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746534003E0,3.360796332E0
1.385198275E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746597110E0,3.360707204E0
1.395198283E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746673886E0,3.360598765E0
1.405198298E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746747144E0,3.360495288E0
1.415198328E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746020578E0,3.361521338E0
1.425198321E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746212523E0,3.361250321E0
1.435198331E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.746270309E0,3.361168724E0
1.445198339E2,5.232201170E1,4.869068217E0,8.206607969E-1,8.048258147E-1,1.772867629E2,4.746723096E0,3.360529256E0
1.455198345E2,5.232198987E1,4.869070197E0,7.560422309E-1,2.141037179E0,1.775021311E2,4.746718517E0,3.360535724E0
1.465198349E2,5.232195819E1,4.869071636E0,6.519801924E-1,3.298628449E0,1.783039245E2,4.746723573E0,3.360528583E0
1.475198358E2,5.232191521E1,4.869073481E0,6.943043899E-1,4.550393426E0,1.783756378E2,4.746770124E0,3.360462828E0
1.485198369E2,5.232186065E1,4.869076713E0,7.502884362E-1,5.848514556E0,1.782488916E2,4.746603513E0,3.360698160E0
1.495198368E2,5.232179515E1,4.869080761E0,7.965951655E-1,7.110848825E0,1.782070243E2,4.746544922E0,3.360780911E0
1.505198374E2,5.232171969E1,4.869085323E0,1.017447115E0,8.277740839E0,1.781001715E2,4.746610666E0,3.360688058E0
