"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.050096327E2,5.234074488E1,4.873875230E0,1.905098013E1,0.000000000E0,NaN,3.841189384E0,3.120888233E0
1.060096454E2,5.234074362E1,4.873875140E0,1.919904959E1,0.000000000E0,NaN,3.901997805E0,3.230108261E0
1.070098791E2,5.234074301E1,4.873874720E0,1.915205142E1,0.000000000E0,NaN,3.810792923E0,3.106227875E0
1.080096179E2,5.234074273E1,4.873874600E0,1.916737078E1,0.000000000E0,NaN,3.854373455E0,3.186233044E0
1.090103111E2,5.234074261E1,4.873874560E0,1.916462401E1,0.000000000E0,NaN,3.833917379E0,3.141497135E0
1.100103303E2,5.234074237E1,4.873876170E0,1.887653866E1,0.000000000E0,NaN,3.790092468E0,2.870494604E0
1.110096896E2,5.234074229E1,4.873876600E0,1.887702707E1,0.000000000E0,NaN,3.790092468E0,2.917865753E0
1.120094287E2,5.234074163E1,4.873876780E0,1.880079334E1,0.000000000E0,NaN,3.790092468E0,2.885736704E0
1.130098250E2,5.234074159E1,4.873876870E0,1.881593005E1,0.000000000E0,NaN,3.790092468E0,2.701942444E0
1.140095769E2,5.234074151E1,4.873876860E0,1.881873755E1,0.000000000E0,NaN,3.790092468E0,2.832298279E0
1.150098830E2,5.234074141E1,4.873876850E0,1.882087363E1,0.000000000E0,NaN,3.790092468E0,2.952156544E0
1.160095828E2,5.234074127E1,4.873876820E0,1.882581727E1,0.000000000E0,NaN,3.790092468E0,2.993758440E0
1.170105678E2,5.234074117E1,4.873876780E0,1.882538986E1,0.000000000E0,NaN,3.790092468E0,3.023084641E0
1.180102613E2,5.234074107E1,4.873876710E0,1.882777005E1,0.000000000E0,NaN,3.854617596E0,3.157640934E0
1.190095560E2,5.234074094E1,4.873876640E0,1.882667119E1,0.000000000E0,NaN,3.790092468E0,2.859061003E0
1.200100073E2,5.234074086E1,4.873876610E0,1.882947868E1,0.000000000E0,NaN,3.790092468E0,2.953170061E0
1.210094414E2,5.234074083E1,4.873876580E0,1.883210313E1,0.000000000E0,NaN,3.790092468E0,2.900498867E0
1.220100093E2,5.234074124E1,4.873876050E0,1.888685194E1,0.000000000E0,NaN,3.790092468E0,2.718635559E0
1.230102117E2,5.234074130E1,4.873875860E0,1.888618053E1,0.000000000E0,NaN,3.790092468E0,2.611648083E0
1.240097576E2,5.234074136E1,4.873875790E0,1.890089004E1,0.000000000E0,NaN,3.790092468E0,2.501979351E0
1.250101394E2,5.234074141E1,4.873875740E0,1.890699360E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.260093708E2,5.234074169E1,4.873875750E0,1.895289244E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.270093547E2,5.234074176E1,4.873875720E0,1.895570014E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.280093966E2,5.234074175E1,4.873875680E0,1.896058291E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.290095481E2,5.234074175E1,4.873875640E0,1.896393982E1,0.000000000E0,NaN,3.790092468E0,2.510496855E0
1.300098686E2,5.234074174E1,4.873875600E0,1.896705258E1,0.000000000E0,NaN,3.790092468E0,2.532054186E0
1.310095871E2,5.234074169E1,4.873875560E0,1.897578051E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.320087569E2,5.234074165E1,4.873875530E0,1.897919841E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.330084326E2,5.234074161E1,4.873875540E0,1.897938146E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.340103001E2,5.234074160E1,4.873875540E0,1.898133457E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.350087560E2,5.234073785E1,4.873940240E0,1.901884199E1,4.110000134E0,9.790000153E1,3.790092468E0,2.500000000E0
1.360085074E2,5.234073719E1,4.874019570E0,1.933773421E1,4.409999847E0,9.269999695E1,3.790092468E0,2.799352646E0
1.370087601E2,5.234074495E1,4.874106550E0,2.021554160E1,4.860000134E0,8.509999847E1,4.002290249E0,3.347606182E0
1.380087466E2,5.234075205E1,4.874189600E0,2.028536242E1,4.610000134E0,8.590000153E1,4.173431396E0,3.697790623E0
1.390101018E2,5.234075472E1,4.874272050E0,1.980921717E1,4.639999866E0,1.075000000E2,4.322827816E0,4.075840950E0
1.400087893E2,5.234075606E1,4.874345500E0,2.023711763E1,4.130000114E0,1.160999985E2,4.461786270E0,4.366972446E0
1.410084756E2,5.234075543E1,4.874415610E0,1.883762082E1,4.460000038E0,1.165999985E2,4.484310627E0,4.469130993E0
1.420100180E2,5.234080482E1,4.874539010E0,1.606200432E1,5.289999962E0,8.209999847E1,4.484098911E0,4.502336502E0
1.430092116E2,5.234081099E1,4.874662360E0,1.403425172E1,6.650000095E0,9.469999695E1,4.345156670E0,4.262196541E0
